"woj","o_l","o_z","o_z_wsk","l_0_4","z_0_4","l_5_14","z_5_14","l_15_64","z_15_64","l_65","z_65","tydz","data"
"Warmińsko-Mazurskie",5747,50.38,-18.69,935,172.53,1362,112.91,2831,36.26,619,33.41,"2020_03B","8_do_15_marca_2020"
"Wielkopolskie",25349,90.65,-28.23,5382,352.8,5691,184.54,12320,65.78,1956,42.29,"2020_03B","8_do_15_marca_2020"
"Zachodniopomorskie",3484,25.64,-6.91,436,70.62,853,63,1845,20.14,350,14.25,"2020_03B","8_do_15_marca_2020"
"Dolnośląskie",5304,26.13,-0.42,596,61.91,759,38.2,3154,23.27,795,20.94,"2020_03C","16_do_22_marca_2020"
"Kujawsko-Pomorskie",5753,39.62,-17.2,825,119.52,871,57.76,3565,36.4,492,19.45,"2020_03C","16_do_22_marca_2020"
"Lubelskie",4201,28.41,-6.83,496,72.09,613,41.23,2718,27.44,374,13.83,"2020_03C","16_do_22_marca_2020"
"Lubuskie",1186,16.72,-11.22,139,41.18,204,27.3,782,16.35,61,4.99,"2020_03C","16_do_22_marca_2020"
"Łódzkie",7133,41.42,-0.75,1069,135.41,1061,63.19,3981,35.1,1022,29.95,"2020_03C","16_do_22_marca_2020"
"Małopolskie",10571,44.35,-4.74,1748,135.49,1869,73.55,5976,37.35,978,24.43,"2020_03C","16_do_22_marca_2020"
"Mazowieckie",15643,41.3,-11.19,2284,109.24,2875,69.97,9174,36.84,1310,19.33,"2020_03C","16_do_22_marca_2020"
"Opolskie",1441,20.91,-1.22,219,72.68,230,36.96,838,17.87,154,12.06,"2020_03C","16_do_22_marca_2020"
"Podkarpackie",2700,18.13,-8.57,347,47.72,554,36.19,1450,14.28,349,14.07,"2020_03C","16_do_22_marca_2020"
"Podlaskie",2440,29.55,-19.25,401,100.43,381,47.23,1315,23.47,343,23.71,"2020_03C","16_do_22_marca_2020"
"Pomorskie",15722,96.07,-27.18,2240,244.96,2332,127.58,10044,92.16,1106,40.61,"2020_03C","16_do_22_marca_2020"
"Śląskie",10932,34.52,-10.5,1676,112.77,2116,68.14,6269,29.72,871,14.56,"2020_03C","16_do_22_marca_2020"
"Świętokrzyskie",1075,12.41,-44.74,155,41.92,258,31.4,565,9.75,97,5.78,"2020_03C","16_do_22_marca_2020"
"Warmińsko-Mazurskie",3787,37.94,-12.44,529,111.56,587,55.61,2153,31.52,518,31.96,"2020_03C","16_do_22_marca_2020"
"Wielkopolskie",18442,75.37,-15.28,2245,168.19,2719,100.76,11938,72.84,1540,38.05,"2020_03C","16_do_22_marca_2020"
"Zachodniopomorskie",2951,24.82,-0.82,424,78.48,649,54.78,1634,20.39,244,11.35,"2020_03C","16_do_22_marca_2020"
"Dolnośląskie",7006,26.84,0.71,995,80.38,971,38.01,4345,24.93,695,14.24,"2020_03D","23_do_31_marca_2020"
"Kujawsko-Pomorskie",5367,28.75,-10.87,614,69.19,653,33.68,3604,28.62,496,15.25,"2020_03D","23_do_31_marca_2020"
"Lubelskie",3168,16.66,-11.75,356,40.24,423,22.13,2106,16.53,283,8.14,"2020_03D","23_do_31_marca_2020"
"Lubuskie",883,9.68,-7.04,95,21.89,119,12.39,586,9.53,83,5.28,"2020_03D","23_do_31_marca_2020"
"Łódzkie",4484,20.25,-21.17,515,50.74,556,25.76,2685,18.41,728,16.59,"2020_03D","23_do_31_marca_2020"
"Małopolskie",8034,26.22,-18.14,1056,63.66,931,28.5,5356,26.04,691,13.42,"2020_03D","23_do_31_marca_2020"
"Mazowieckie",16737,34.37,-6.93,2013,74.88,2170,41.08,11129,34.76,1425,16.35,"2020_03D","23_do_31_marca_2020"
"Opolskie",1327,14.98,-5.93,140,36.14,146,18.25,921,15.27,120,7.31,"2020_03D","23_do_31_marca_2020"
"Podkarpackie",2003,10.46,-7.67,201,21.5,202,10.26,1378,10.56,222,6.96,"2020_03D","23_do_31_marca_2020"
"Podlaskie",1618,15.24,-14.31,166,32.33,185,17.84,1111,15.42,156,8.39,"2020_03D","23_do_31_marca_2020"
"Pomorskie",17509,83.22,-12.86,2234,190.02,2130,90.64,11738,83.77,1407,40.18,"2020_03D","23_do_31_marca_2020"
"Śląskie",9967,24.48,-10.04,1011,52.91,1207,30.23,7003,25.82,746,9.7,"2020_03D","23_do_31_marca_2020"
"Świętokrzyskie",5277,47.39,34.97,691,145.34,1007,95.32,3150,42.29,429,19.89,"2020_03D","23_do_31_marca_2020"
"Warmińsko-Mazurskie",2816,21.94,-16,214,35.1,347,25.57,1859,21.17,396,19,"2020_03D","23_do_31_marca_2020"
"Wielkopolskie",14358,45.64,-29.73,1431,83.38,1633,47.07,9916,47.06,1378,26.48,"2020_03D","23_do_31_marca_2020"
"Zachodniopomorskie",1718,11.24,-13.58,125,18,179,11.75,1239,12.02,175,6.33,"2020_03D","23_do_31_marca_2020"
"Dolnośląskie",2024,9.97,-17.11,147,15.27,181,9.11,1448,10.68,248,6.53,"2020_04A","1_do_7_kwietnia_2020"
"Kujawsko-Pomorskie",2332,16.06,-12.69,258,37.38,300,19.9,1542,15.74,232,9.17,"2020_04A","1_do_7_kwietnia_2020"
"Lubelskie",1508,10.2,-6.47,164,23.84,152,10.22,1063,10.73,129,4.77,"2020_04A","1_do_7_kwietnia_2020"
"Lubuskie",469,6.61,-3.07,58,17.18,61,8.16,285,5.96,65,5.31,"2020_04A","1_do_7_kwietnia_2020"
"Łódzkie",2746,15.95,-4.31,257,32.55,356,21.2,1882,16.6,251,7.36,"2020_04A","1_do_7_kwietnia_2020"
"Małopolskie",2677,11.23,-14.99,201,15.58,240,9.44,1988,12.43,248,6.19,"2020_04A","1_do_7_kwietnia_2020"
