"woj","suma","w_0_4","w_5_14","w_15_64","w_65","dni","miesiac","rok","tydz","numer"
"Lubuskie",0,0,0,0,0,"8-15","czerwiec",2010,22,"6B"
"Łódzkie",0,0,0,0,0,"8-15","czerwiec",2010,22,"6B"
"Małopolskie",0,0,0,0,0,"8-15","czerwiec",2010,22,"6B"
"Mazowieckie",0,0,0,0,0,"8-15","czerwiec",2010,22,"6B"
"Opolskie",0,0,0,0,0,"8-15","czerwiec",2010,22,"6B"
"Podkarpackie",0,0,0,0,0,"8-15","czerwiec",2010,22,"6B"
"Podlaskie",0,0,0,0,0,"8-15","czerwiec",2010,22,"6B"
"Pomorskie",0,0,0,0,0,"8-15","czerwiec",2010,22,"6B"
"Śląskie",0,0,0,0,0,"8-15","czerwiec",2010,22,"6B"
"Świętokrzyskie",0,0,0,0,0,"8-15","czerwiec",2010,22,"6B"
"Warmińsko-Mazurskie",0,0,0,0,0,"8-15","czerwiec",2010,22,"6B"
"Wielkopolskie",0,0,0,0,0,"8-15","czerwiec",2010,22,"6B"
"Zachodniopomorskie",0,0,0,0,0,"8-15","czerwiec",2010,22,"6B"
"Dolnośląskie",0,0,0,0,0,"16-22","czerwiec",2010,23,"6C"
