"woj","o_l","o_p","ouk_l","ouk_p","ouo_l","ouo_p","inne_l","inne_p","tydz","data"
"Podkarpackie",1,0.4,1,100,1,100,0,0,"2010_04B","8_do_15_kwietnia_2010"
"Podlaskie",0,0,0,0,0,0,0,0,"2010_04B","8_do_15_kwietnia_2010"
"Pomorskie",0,0,0,0,0,0,0,0,"2010_04B","8_do_15_kwietnia_2010"
"Śląskie",1,0.41,1,100,1,100,0,0,"2010_04B","8_do_15_kwietnia_2010"
"Świętokrzyskie",0,0,0,0,0,0,0,0,"2010_04B","8_do_15_kwietnia_2010"
"Warmińsko-Mazurskie",0,0,0,0,0,0,0,0,"2010_04B","8_do_15_kwietnia_2010"
"Wielkopolskie",39,2.29,0,0,28,71.8,15,38.5,"2010_04B","8_do_15_kwietnia_2010"
"Zachodniopomorskie",1,0.34,0,0,1,100,0,0,"2010_04B","8_do_15_kwietnia_2010"
"Dolnośląskie",0,0,0,0,0,0,0,0,"2010_04C","16_do_22_kwietnia_2010"
"Kujawsko-Pomorskie",0,0,0,0,0,0,0,0,"2010_04C","16_do_22_kwietnia_2010"
"Lubelskie",0,0,0,0,0,0,0,0,"2010_04C","16_do_22_kwietnia_2010"
"Lubuskie",0,0,0,0,0,0,0,0,"2010_04C","16_do_22_kwietnia_2010"
"Łódzkie",0,0,0,0,0,0,0,0,"2010_04C","16_do_22_kwietnia_2010"
"Małopolskie",2,1.05,0,0,2,100,0,0,"2010_04C","16_do_22_kwietnia_2010"
"Mazowieckie",3,0.17,0,0,3,100,0,0,"2010_04C","16_do_22_kwietnia_2010"
"Opolskie",0,0,0,0,0,0,0,0,"2010_04C","16_do_22_kwietnia_2010"
"Podkarpackie",1,1.67,0,0,1,100,0,0,"2010_04C","16_do_22_kwietnia_2010"
"Podlaskie",0,0,0,0,0,0,0,0,"2010_04C","16_do_22_kwietnia_2010"
"Pomorskie",0,0,0,0,0,0,0,0,"2010_04C","16_do_22_kwietnia_2010"
"Śląskie",0,0,0,0,0,0,0,0,"2010_04C","16_do_22_kwietnia_2010"
"Świętokrzyskie",0,0,0,0,0,0,0,0,"2010_04C","16_do_22_kwietnia_2010"
"Warmińsko-Mazurskie",0,0,0,0,0,0,0,0,"2010_04C","16_do_22_kwietnia_2010"
"Wielkopolskie",12,1.07,0,0,11,91.7,5,41.7,"2010_04C","16_do_22_kwietnia_2010"
"Zachodniopomorskie",0,0,0,0,0,0,0,0,"2010_04C","16_do_22_kwietnia_2010"
"Dolnośląskie",0,0,0,0,0,0,0,0,"2010_04D","23_do_30_kwietnia_2010"
"Kujawsko-Pomorskie",1,0.24,0,0,0,0,1,100,"2010_04D","23_do_30_kwietnia_2010"
"Lubelskie",0,0,0,0,0,0,0,0,"2010_04D","23_do_30_kwietnia_2010"
"Lubuskie",0,0,0,0,0,0,0,0,"2010_04D","23_do_30_kwietnia_2010"
"Łódzkie",0,0,0,0,0,0,0,0,"2010_04D","23_do_30_kwietnia_2010"
"Małopolskie",0,0,0,0,0,0,0,0,"2010_04D","23_do_30_kwietnia_2010"
"Mazowieckie",0,0,0,0,0,0,0,0,"2010_04D","23_do_30_kwietnia_2010"
"Opolskie",0,0,0,0,0,0,0,0,"2010_04D","23_do_30_kwietnia_2010"
"Podkarpackie",0,0,0,0,0,0,0,0,"2010_04D","23_do_30_kwietnia_2010"
"Podlaskie",1,0.36,0,0,1,100,0,0,"2010_04D","23_do_30_kwietnia_2010"
"Pomorskie",0,0,0,0,0,0,0,0,"2010_04D","23_do_30_kwietnia_2010"
"Śląskie",0,0,0,0,0,0,0,0,"2010_04D","23_do_30_kwietnia_2010"
"Świętokrzyskie",0,0,0,0,0,0,0,0,"2010_04D","23_do_30_kwietnia_2010"
"Warmińsko-Mazurskie",0,0,0,0,0,0,0,0,"2010_04D","23_do_30_kwietnia_2010"
"Wielkopolskie",16,1.37,0,0,12,75,5,31.3,"2010_04D","23_do_30_kwietnia_2010"
"Zachodniopomorskie",3,1.08,0,0,3,100,0,0,"2010_04D","23_do_30_kwietnia_2010"
"Dolnośląskie",0,0,0,0,0,0,0,0,"2010_05A","1_do_7_maja_2010"
"Kujawsko-Pomorskie",0,0,0,0,0,0,0,0,"2010_05A","1_do_7_maja_2010"
"Lubelskie",0,0,0,0,0,0,0,0,"2010_05A","1_do_7_maja_2010"
"Lubuskie",0,0,0,0,0,0,0,0,"2010_05A","1_do_7_maja_2010"
"Łódzkie",0,0,0,0,0,0,0,0,"2010_05A","1_do_7_maja_2010"
"Małopolskie",0,0,0,0,0,0,0,0,"2010_05A","1_do_7_maja_2010"
"Mazowieckie",0,0,0,0,0,0,0,0,"2010_05A","1_do_7_maja_2010"
"Opolskie",0,0,0,0,0,0,0,0,"2010_05A","1_do_7_maja_2010"
"Podkarpackie",0,0,0,0,0,0,0,0,"2010_05A","1_do_7_maja_2010"
"Podlaskie",0,0,0,0,0,0,0,0,"2010_05A","1_do_7_maja_2010"
"Pomorskie",0,0,0,0,0,0,0,0,"2010_05A","1_do_7_maja_2010"
"Śląskie",0,0,0,0,0,0,0,0,"2010_05A","1_do_7_maja_2010"
"Świętokrzyskie",0,0,0,0,0,0,0,0,"2010_05A","1_do_7_maja_2010"
"Warmińsko-Mazurskie",0,0,0,0,0,0,0,0,"2010_05A","1_do_7_maja_2010"
"Wielkopolskie",22,1.81,0,0,14,63.6,13,59.1,"2010_05A","1_do_7_maja_2010"
"Zachodniopomorskie",0,0,0,0,0,0,0,0,"2010_05A","1_do_7_maja_2010"
"Dolnośląskie",0,0,0,0,0,0,0,0,"2010_05B","8_do_15_maja_2010"
"Kujawsko-Pomorskie",0,0,0,0,0,0,0,0,"2010_05B","8_do_15_maja_2010"
"Lubelskie",0,0,0,0,0,0,0,0,"2010_05B","8_do_15_maja_2010"
"Lubuskie",0,0,0,0,0,0,0,0,"2010_05B","8_do_15_maja_2010"
"Łódzkie",0,0,0,0,0,0,0,0,"2010_05B","8_do_15_maja_2010"
"Małopolskie",3,1.21,0,0,3,100,0,0,"2010_05B","8_do_15_maja_2010"
"Mazowieckie",4,0.29,0,0,4,100,0,0,"2010_05B","8_do_15_maja_2010"
"Opolskie",0,0,0,0,0,0,0,0,"2010_05B","8_do_15_maja_2010"
"Podkarpackie",0,0,0,0,0,0,0,0,"2010_05B","8_do_15_maja_2010"
"Podlaskie",1,0.32,1,100,0,0,0,0,"2010_05B","8_do_15_maja_2010"
"Pomorskie",0,0,0,0,0,0,0,0,"2010_05B","8_do_15_maja_2010"
"Śląskie",1,0.47,0,0,1,100,0,0,"2010_05B","8_do_15_maja_2010"
"Świętokrzyskie",0,0,0,0,0,0,0,0,"2010_05B","8_do_15_maja_2010"
"Warmińsko-Mazurskie",0,0,0,0,0,0,0,0,"2010_05B","8_do_15_maja_2010"
"Wielkopolskie",7,0.8,0,0,4,57.1,4,57.1,"2010_05B","8_do_15_maja_2010"
"Zachodniopomorskie",0,0,0,0,0,0,0,0,"2010_05B","8_do_15_maja_2010"
"Dolnośląskie",0,0,0,0,0,0,0,0,"2010_05C","16_do_22_maja_2010"
"Kujawsko-Pomorskie",0,0,0,0,0,0,0,0,"2010_05C","16_do_22_maja_2010"
"Lubelskie",0,0,0,0,0,0,0,0,"2010_05C","16_do_22_maja_2010"
