"woj","o_l","o_z","o_z_wsk","l_0_4","z_0_4","l_5_14","z_5_14","l_15_64","z_15_64","l_65","z_65","dni","miesiac","rok","tydz","numer"
"Lubelskie",3168,16.66,-11.75,356,40.24,423,22.13,2106,16.53,283,8.14,"23-31","marzec",2020,12,"3D"
"Lubuskie",883,9.68,-7.04,95,21.89,119,12.39,586,9.53,83,5.28,"23-31","marzec",2020,12,"3D"
"Łódzkie",4484,20.25,-21.17,515,50.74,556,25.76,2685,18.41,728,16.59,"23-31","marzec",2020,12,"3D"
"Małopolskie",8034,26.22,-18.14,1056,63.66,931,28.5,5356,26.04,691,13.42,"23-31","marzec",2020,12,"3D"
"Mazowieckie",16737,34.37,-6.93,2013,74.88,2170,41.08,11129,34.76,1425,16.35,"23-31","marzec",2020,12,"3D"
"Opolskie",1327,14.98,-5.93,140,36.14,146,18.25,921,15.27,120,7.31,"23-31","marzec",2020,12,"3D"
"Podkarpackie",2003,10.46,-7.67,201,21.5,202,10.26,1378,10.56,222,6.96,"23-31","marzec",2020,12,"3D"
"Podlaskie",1618,15.24,-14.31,166,32.33,185,17.84,1111,15.42,156,8.39,"23-31","marzec",2020,12,"3D"
"Pomorskie",17509,83.22,-12.86,2234,190.02,2130,90.64,11738,83.77,1407,40.18,"23-31","marzec",2020,12,"3D"
"Śląskie",9967,24.48,-10.04,1011,52.91,1207,30.23,7003,25.82,746,9.7,"23-31","marzec",2020,12,"3D"
"Świętokrzyskie",5277,47.39,34.97,691,145.34,1007,95.32,3150,42.29,429,19.89,"23-31","marzec",2020,12,"3D"
"Warmińsko-Mazurskie",2816,21.94,-16,214,35.1,347,25.57,1859,21.17,396,19,"23-31","marzec",2020,12,"3D"
"Wielkopolskie",14358,45.64,-29.73,1431,83.38,1633,47.07,9916,47.06,1378,26.48,"23-31","marzec",2020,12,"3D"
"Zachodniopomorskie",1718,11.24,-13.58,125,18,179,11.75,1239,12.02,175,6.33,"23-31","marzec",2020,12,"3D"
